ID,Name,City,Country,IATA 3,Latitute,Longitude
1,Goroka Airport,Goroka,Papua New Guinea,GKA,-6.081689835,145.3919983
2,Madang Airport,Madang,Papua New Guinea,MAG,-5.207079887,145.7890015
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,-5.826789856,144.2960052
4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,-6.569803,146.725977
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,-9.443380356,147.2200012
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,-3.583830118,143.6690063
7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,61.16049957,-45.42599869
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,64.19090271,-51.67810059
9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,67.0122219,-50.71160316
10,Thule Air Base,Thule,Greenland,THU,76.53119659,-68.70320129
11,Akureyri Airport,Akureyri,Iceland,AEY,65.66000366,-18.0727005
12,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,65.28330231,-14.40139961
13,Hornafjörður Airport,Hofn,Iceland,HFN,64.295601,-15.2272
14,Húsavík Airport,Husavik,Iceland,HZK,65.952301,-17.426001
15,Ísafjörður Airport,Isafjordur,Iceland,IFJ,66.05809784,-23.13529968
16,Keflavik International Airport,Keflavik,Iceland,KEF,63.98500061,-22.60560036
17,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,65.555801,-23.965
18,Reykjavik Airport,Reykjavik,Iceland,RKV,64.12999725,-21.94059944
19,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,66.133301,-18.9167
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,63.42430115,-20.27890015
21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,46.48500061,-84.50939941
22,Winnipeg / St. Andrews Airport,Winnipeg,Canada,YAV,50.0564003,-97.03250122
23,Halifax / CFB Shearwater Heliport,Halifax,Canada,YAW,44.63970184,-63.49940109
24,St. Anthony Airport,St. Anthony,Canada,YAY,51.39189911,-56.08309937
25,Tofino / Long Beach Airport,Tofino,Canada,YAZ,49.079833,-125.775583
26,Kugaaruk Airport,Pelly Bay,Canada,YBB,68.534401,-89.808098
27,Baie Comeau Airport,Baie Comeau,Canada,YBC,49.13249969,-68.20439911
28,CFB Bagotville,Bagotville,Canada,YBG,48.33060074,-70.99639893
29,Baker Lake Airport,Baker Lake,Canada,YBK,64.29889679,-96.07779694
30,Campbell River Airport,Campbell River,Canada,YBL,49.95080185,-125.2710037
31,Brandon Municipal Airport,Brandon,Canada,YBR,49.91,-99.951897
32,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,69.10810089,-105.1380005
33,Nanaimo Airport,Nanaimo,Canada,YCD,49.05497022,-123.8698626
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,49.29639816,-117.6320038
35,Miramichi Airport,Chatham,Canada,YCH,47.007801,-65.449203
36,Charlo Airport,Charlo,Canada,YCL,47.990799,-66.330299
37,Kugluktuk Airport,Coppermine,Canada,YCO,67.8167038,-115.1439972
38,Coronation Airport,Coronation,Canada,YCT,52.07500076,-111.4449997
39,Chilliwack Airport,Chilliwack,Canada,YCW,49.15280151,-121.939003
40,Clyde River Airport,Clyde River,Canada,YCY,70.48609924,-68.51670074
41,Coral Harbour Airport,Coral Harbour,Canada,YZS,64.19329834,-83.35939789
42,Dawson City Airport,Dawson,Canada,YDA,64.04309845,-139.128006
43,Burwash Airport,Burwash,Canada,YDB,61.37110138,-139.0410004
44,Princeton Airport,Princeton,Canada,YDC,49.4681015,-120.5110016
45,Deer Lake Airport,Deer Lake,Canada,YDF,49.21080017,-57.39139938
46,Dease Lake Airport,Dease Lake,Canada,YDL,58.42219925,-130.0319977
47,Dauphin Barker Airport,Dauphin,Canada,YDN,51.10079956,-100.052002
48,Dawson Creek Airport,Dawson Creek,Canada,YDQ,55.74229813,-120.1829987
49,Edmonton International Airport,Edmonton,Canada,YEG,53.30970001,-113.5800018
50,Arviat Airport,Eskimo Point,Canada,YEK,61.09420013,-94.07080078
51,Estevan Airport,Estevan,Canada,YEN,49.21030045,-102.9660034
52,Edson Airport,Edson,Canada,YET,53.57889938,-116.4649963
53,Eureka Airport,Eureka,Canada,YEU,79.99469757,-85.81420136
54,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,68.30419922,-133.4830017
55,Iqaluit Airport,Iqaluit,Canada,YFB,63.75640106,-68.55580139
56,Fredericton Airport,Fredericton,Canada,YFC,45.8689003,-66.53720093
57,Flin Flon Airport,Flin Flon,Canada,YFO,54.67810059,-101.6819992
58,Fort Resolution Airport,Fort Resolution,Canada,YFR,61.18080139,-113.6900024
59,Fort Simpson Airport,Fort Simpson,Canada,YFS,61.7602005,-121.2369995
60,Kingston Norman Rogers Airport,Kingston,Canada,YGK,44.22529984,-76.59690094
61,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,53.62530136,-77.70420074
62,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,48.77529907,-64.47859955
63,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,49.77830124,-86.93939972
64,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,47.42470169,-61.77809906
65,Hudson Bay Airport,Hudson Bay,Canada,YHB,52.81669998,-102.310997
66,Dryden Regional Airport,Dryden,Canada,YHD,49.83169937,-92.74420166
67,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,70.76280212,-117.8059998
68,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,68.63559723,-95.84970093
69,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,43.17359924,-79.93499756
70,Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,45.51750183,-73.41690063
71,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,60.83969879,-115.7829971
72,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,44.88079834,-63.50859833
73,Atikokan Municipal Airport,Atikokan,Canada,YIB,48.77389908,-91.63860321
74,Pond Inlet Airport,Pond Inlet,Canada,YIO,72.6832962,-77.96669769
75,St Jean Airport,St. Jean,Canada,YJN,45.29439926,-73.28109741
76,Stephenville Airport,Stephenville,Canada,YJT,48.5442009,-58.54999924
77,Kamloops Airport,Kamloops,Canada,YKA,50.70220184,-120.4440002
78,Waterloo Airport,Waterloo,Canada,YKF,43.46080017,-80.37860107
79,Schefferville Airport,Schefferville,Canada,YKL,54.80530167,-66.80529785
80,Kindersley Airport,Kindersley,Canada,YKY,51.51750183,-109.1809998
81,Buttonville Municipal Airport,Toronto,Canada,YKZ,43.86220169,-79.37000275
82,Chapleau Airport,Chapleau,Canada,YLD,47.81999969,-83.34670258
83,Meadow Lake Airport,Meadow Lake,Canada,YLJ,54.12530136,-108.5230026
84,Lloydminster Airport,Lloydminster,Canada,YLL,53.30920029,-110.072998
85,Alert Airport,Alert,Canada,YLT,82.51779938,-62.2806015
86,Kelowna International Airport,Kelowna,Canada,YLW,49.95610046,-119.3779984
87,Mayo Airport,Mayo,Canada,YMA,63.61640167,-135.8679962
88,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,50.33029938,-105.5589981
89,Fort McMurray Airport,Fort Mcmurray,Canada,YMM,56.65330124,-111.2220001
90,Moosonee Airport,Moosonee,Canada,YMO,51.29109955,-80.60780334
91,Maniwaki Airport,Maniwaki,Canada,YMW,46.27280045,-75.99060059
92,Montreal International (Mirabel) Airport,Montreal,Canada,YMX,45.67950058,-74.03869629
93,Natashquan Airport,Natashquan,Canada,YNA,50.18999863,-61.78919983
94,Ottawa / Gatineau Airport,Gatineau,Canada,YND,45.52170181,-75.56359863
95,Matagami Airport,Matagami,Canada,YNM,49.76169968,-77.80280304
96,Old Crow Airport,Old Crow,Canada,YOC,67.57060242,-139.8390045
97,CFB Cold Lake,Cold Lake,Canada,YOD,54.40499878,-110.2789993
98,High Level Airport,High Level,Canada,YOJ,58.62139893,-117.1650009
99,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,45.32249832,-75.66919708
100,Prince Albert Glass Field,Prince Albert,Canada,YPA,53.21419907,-105.6729965
101,Peace River Airport,Peace River,Canada,YPE,56.22689819,-117.4469986
102,Southport Airport,Portage-la-prairie,Canada,YPG,49.903099,-98.273817
103,Pickle Lake Airport,Pickle Lake,Canada,YPL,51.44639969,-90.21420288
104,Port Menier Airport,Port Menier,Canada,YPN,49.83639908,-64.28859711
105,Peterborough Airport,Peterborough,Canada,YPQ,44.22999954,-78.36329651
106,Prince Rupert Airport,Prince Pupert,Canada,YPR,54.28609848,-130.4450073
107,Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,58.76720047,-111.1169968
108,Muskoka Airport,Muskoka,Canada,YQA,44.97470093,-79.30329895
109,Quebec Jean Lesage International Airport,Quebec,Canada,YQB,46.7911,-71.393303
110,Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,52.18220139,-113.8939972
111,Windsor Airport,Windsor,Canada,YQG,42.27560043,-82.95559692
112,Watson Lake Airport,Watson Lake,Canada,YQH,60.11640167,-128.8220062
113,Kenora Airport,Kenora,Canada,YQK,49.78829956,-94.36309814
114,Lethbridge County Airport,Lethbridge,Canada,YQL,49.63029861,-112.8000031
115,Greater Moncton International Airport,Moncton,Canada,YQM,46.11220169,-64.6785965
116,Comox Airport,Comox,Canada,YQQ,49.71080017,-124.887001
117,Regina International Airport,Regina,Canada,YQR,50.43190002,-104.6660004
118,Thunder Bay Airport,Thunder Bay,Canada,YQT,48.37189865,-89.32389832
119,Grande Prairie Airport,Grande Prairie,Canada,YQU,55.17969894,-118.8850021
120,Yorkton Municipal Airport,Yorkton,Canada,YQV,51.26470184,-102.461998
121,North Battleford Airport,North Battleford,Canada,YQW,52.76919937,-108.2440033
122,Gander International Airport,Gander,Canada,YQX,48.93690109,-54.56809998
123,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,46.16139984,-60.04779816
124,Quesnel Airport,Quesnel,Canada,YQZ,53.02610016,-122.5100021
125,Resolute Bay Airport,Resolute,Canada,YRB,74.71690369,-94.9693985
126,Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,47.76440048,-69.58470154
127,Roberval Airport,Roberval,Canada,YRJ,48.52000046,-72.26560211
128,Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,52.42969894,-114.9039993
129,Rankin Inlet Airport,Rankin Inlet,Canada,YRT,62.81140137,-92.11579895
130,Sudbury Airport,Sudbury,Canada,YSB,46.625,-80.79889679
131,Sherbrooke Airport,Sherbrooke,Canada,YSC,45.43859863,-71.69139862
132,Saint John Airport,St. John,Canada,YSJ,45.31610107,-65.89029694
133,Fort Smith Airport,Fort Smith,Canada,YSM,60.02030182,-111.961998
134,Nanisivik Airport,Nanisivik,Canada,YSR,72.982201,-84.613602
135,Summerside Airport,Summerside,Canada,YSU,46.44060135,-63.83359909
136,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,71.99389648,-125.2429962
137,Cape Dorset Airport,Cape Dorset,Canada,YTE,64.23000336,-76.52670288
138,Thompson Airport,Thompson,Canada,YTH,55.80110168,-97.86419678
139,CFB Trenton,Trenton,Canada,YTR,44.1189003,-77.52809906
140,Timmins/Victor M. Power,Timmins,Canada,YTS,48.56969833,-81.37670136
141,Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,43.627499,-79.396202
142,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,69.4332962,-133.026001
143,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,45.47060013,-73.74079895
144,Repulse Bay Airport,Repulse Bay,Canada,YUT,66.52140045,-86.22470093
145,Hall Beach Airport,Hall Beach,Canada,YUX,68.77610016,-81.2425
146,Rouyn Noranda Airport,Rouyn,Canada,YUY,48.20610046,-78.83560181
147,La Ronge Airport,La Ronge,Canada,YVC,55.15140152,-105.262001
148,Vermilion Airport,Vermillion,Canada,YVG,53.35580063,-110.8239975
149,Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,67.54579926,-64.03140259
150,Val-d'Or Airport,Val D'or,Canada,YVO,48.05329895,-77.78279877
151,Kuujjuaq Airport,Quujjuaq,Canada,YVP,58.09609985,-68.42690277
152,Norman Wells Airport,Norman Wells,Canada,YVQ,65.28160095,-126.7979965
153,Vancouver International Airport,Vancouver,Canada,YVR,49.19390106,-123.1839981
154,Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,55.84189987,-108.4179993
155,Wiarton Airport,Wiarton,Canada,YVV,44.7458,-81.107201
156,Petawawa Airport,Petawawa,Canada,YWA,45.95220184,-77.31919861
157,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,49.90999985,-97.23989868
158,Wabush Airport,Wabush,Canada,YWK,52.9219017,-66.86440277
159,Williams Lake Airport,Williams Lake,Canada,YWL,52.18310165,-122.0540009
160,Wrigley Airport,Wrigley,Canada,YWY,63.20940018,-123.4369965
161,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,49.6108017,-115.7819977
162,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,53.57249832,-113.5210037
163,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,52.17079926,-106.6999969
164,Medicine Hat Airport,Medicine Hat,Canada,YXH,50.01890182,-110.7210007
165,Fort St John Airport,Fort Saint John,Canada,YXJ,56.23809814,-120.7399979
166,Sioux Lookout Airport,Sioux Lookout,Canada,YXL,50.11389923,-91.90529633
167,Pangnirtung Airport,Pangnirtung,Canada,YXP,66.14499664,-65.71360016
168,Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,47.69740065,-79.84734535
169,Prince George Airport,Prince George,Canada,YXS,53.88940048,-122.6790009
170,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,54.468498,-128.576009
171,London Airport,London,Canada,YXU,43.035599,-81.1539
172,Abbotsford Airport,Abbotsford,Canada,YXX,49.02529907,-122.3610001
173,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,60.70959854,-135.0670013
174,North Bay Airport,North Bay,Canada,YYB,46.36360168,-79.42279816
175,Calgary International Airport,Calgary,Canada,YYC,51.11389923,-114.0199966
176,Smithers Airport,Smithers,Canada,YYD,54.8246994,-127.1829987
177,Fort Nelson Airport,Fort Nelson,Canada,YYE,58.83639908,-122.5970001
178,Penticton Airport,Penticton,Canada,YYF,49.46310043,-119.6019974
179,Charlottetown Airport,Charlottetown,Canada,YYG,46.29000092,-63.12110138
180,Taloyoak Airport,Spence Bay,Canada,YYH,69.54669952,-93.5766983
181,Victoria International Airport,Victoria,Canada,YYJ,48.64690018,-123.4260025
182,Lynn Lake Airport,Lynn Lake,Canada,YYL,56.86389923,-101.0759964
183,Swift Current Airport,Swift Current,Canada,YYN,50.29190063,-107.6910019
184,Churchill Airport,Churchill,Canada,YYQ,58.73920059,-94.06500244
185,Goose Bay Airport,Goose Bay,Canada,YYR,53.31919861,-60.42580032
186,St. John's International Airport,St. John's,Canada,YYT,47.61859894,-52.75189972
187,Kapuskasing Airport,Kapuskasing,Canada,YYU,49.41389847,-82.46749878
